                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.89275,                 1.0549,                 1.0771,                0.94471,                0.62758,                 0.6745,                0.44184,                  1.277,                 1.6748,                 1.1143,              0.0004085,              0.0004085,              0.0004085
                     36,                0.84347,                 1.0001,                 1.0425,                0.95308,                 0.6291,                0.68216,                0.43223,                 1.3187,                 1.6837,                 1.1445,             0.00038375,             0.00038375,             0.00038375
                     37,                 0.8893,                0.94027,                 1.0366,                0.92218,                0.56837,                0.67642,                0.40788,                  1.337,                 1.6476,                 1.1834,               0.000359,               0.000359,               0.000359
                     38,                 0.7985,                0.88076,                 1.0421,                0.94134,                0.63942,                0.70958,                0.43815,                 1.3846,                  1.559,                 1.2452,             0.00033425,             0.00033425,             0.00033425
                     39,                0.87466,                 1.0026,                 1.0655,                0.95167,                 0.6456,                0.70958,                0.44633,                 1.3901,                   1.59,                 1.2544,              0.0003095,              0.0003095,              0.0003095
                     40,                0.87876,                0.92646,                 1.0491,                0.95191,                0.64238,                0.70958,                0.43859,                 1.3549,                 1.7075,                  1.236,             0.00028475,             0.00028475,             0.00028475
                     41,                0.79415,                  1.007,                 1.0085,                0.92309,                0.67789,                0.70756,                0.43288,                 1.3777,                 1.7021,                 1.2509,                0.00026,                0.00026,                0.00026
                     42,                0.75665,                  1.003,                0.99781,                0.90522,                 0.6875,                0.70185,                0.43308,                 1.4095,                 1.6811,                 1.2704,             0.00023525,             0.00023525,             0.00023525
                     43,                0.78338,                 1.0008,                 1.0207,                0.90797,                 0.6875,                0.69577,                0.42465,                 1.4078,                 1.6297,                 1.2359,              0.0002105,              0.0002105,              0.0002105
                     44,                0.72616,                0.94574,                0.99468,                0.91152,                 0.6875,                0.66217,                0.42914,                 1.3686,                 1.5437,                 1.1973,             0.00018575,             0.00018575,             0.00018575
                     45,                0.69267,                0.90064,                0.95048,                0.93044,                0.68106,                0.70185,                0.44016,                 1.3169,                 1.4879,                 1.1629,               0.000161,               0.000161,               0.000161
                     46,                0.70812,                0.89014,                0.96519,                0.95486,                 0.6875,                0.71589,                0.45136,                 1.2809,                 1.4768,                 1.1467,             0.00013625,             0.00013625,             0.00013625
                     47,                0.68845,                0.88431,                0.95133,                0.95312,                0.67729,                0.71363,                0.46734,                 1.2905,                 1.5045,                 1.1527,              0.0001115,              0.0001115,              0.0001115
                     48,                0.67835,                0.88119,                0.96458,                0.85129,                 0.6875,                0.69193,                 0.4467,                 1.2901,                 1.4944,                 1.1513,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                0.70189,                0.88594,                0.97715,                0.85528,                0.72593,                0.70339,                0.45391,                 1.2887,                 1.4876,                 1.1539,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                0.68365,                0.88625,                0.98235,                0.85547,                0.72426,                0.70339,                0.45393,                 1.2902,                 1.4656,                 1.1608,              3.725e-05,              3.725e-05,              3.725e-05
